danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_hit
0.243,0.609,10.0,-8.451,1.0,0.0323,0.663,1.13e-05,0.221,0.333,166.668,258027.0,1
0.491,0.648,10.0,-9.276,0.0,0.0818,0.124,0.839,0.0884,0.189,79.201,41583.0,0
0.33,0.444,3.0,-12.229,1.0,0.0378,0.906,2.12e-06,0.463,0.38,79.329,108800.0,0
0.693,0.763,0.0,-8.5,1.0,0.0396,0.0053,0.0144,0.0949,0.379,132.662,208493.0,0
0.795,0.857,11.0,-7.772,0.0,0.0492,0.526,0.457,0.0968,0.845,97.01,540346.0,0
0.777,0.846,7.0,-7.514,1.0,0.0282,0.00841,0.000901,0.0244,0.793,106.046,212760.0,0
0.695,0.229,6.0,-13.634,0.0,0.204,0.13,0.504,0.253,0.674,84.916,85257.0,0
0.408,0.243,1.0,-15.869,0.0,0.0358,0.452,0.00109,0.0686,0.126,141.902,358008.0,0
0.864,0.73,6.0,-5.222,0.0,0.349,0.00156,0.0,0.114,0.202,97.969,99004.0,0
0.561,0.618,8.0,-13.532,1.0,0.0522,0.0029,0.855,0.119,0.0763,135.01,212415.0,0
0.368,0.0509,11.0,-27.439,1.0,0.0333,0.959,0.866,0.14,0.446,185.343,68043.0,1
0.785,0.807,0.0,-3.877,1.0,0.178,0.198,0.0,0.326,0.228,96.981,156291.0,1
0.824,0.697,11.0,-4.869,0.0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,214459.0,1
0.407,0.863,0.0,-7.968,1.0,0.0704,0.000643,0.591,0.128,0.519,113.98,204360.0,1
0.66,0.609,2.0,-14.234,0.0,0.035,0.609,0.931,0.102,0.596,95.511,113053.0,0
0.787,0.871,5.0,-6.193,0.0,0.142,0.109,0.0,0.0426,0.831,94.998,341840.0,0
0.643,0.914,5.0,-5.521,0.0,0.0414,0.206,0.0,0.955,0.647,106.002,237440.0,0
0.545,0.868,7.0,-4.376,1.0,0.0835,0.000159,1.82e-05,0.137,0.621,155.955,161613.0,0
0.472,0.965,1.0,-2.9,1.0,0.101,0.103,0.0,0.835,0.83,176.062,130116.0,0
0.215,0.068,2.0,-19.437,1.0,0.034,0.952,0.869,0.0994,0.0463,68.434,1292194.0,0
0.592,0.8,6.0,-4.931,0.0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,224813.0,1
0.674,0.92,11.0,-3.277,1.0,0.102,0.0328,0.0,0.0568,0.725,127.916,199600.0,0
0.714,0.7,11.0,-5.296,1.0,0.0518,0.565,1.88e-06,0.387,0.351,116.052,299626.0,1
